1,課題に直面する,face a _ ,challenge
1,方法を学ぶ,learn a  _,method
1,基本的な技能,a _ skill,basic
1,役に立つヒント,a useful _,tip
1,その大学のキャンパス,the college _,campus
2,私立の学校,a _ school,private
2,ヨーロッパ建築,European _,architecture
2,冒頭の背負う,the opening _,chapter
2,要約を示す,give a _,summary
2,文脈を説明する,explain the _,context
2,すべてを知っているふりをする,_ to know everyting,pretend
2,彼に会うのを避ける,_ meeting him,avoid
2,事故を予防する,_ accidents,prevent
2,勉強を続ける,_ studying,continue
2,その仕事に応募する,_ for the job,apply
2,喫煙を止める,_ smoking,quit
2,眠ろうとする,_ to sleep,attempt
2,島を探検する,_ the island,explore
2,彼を求めて人ごみを探す,_ a crowd for him, search
2,素早く見る,have a _ look,quik